ErrorCode,ErrorColumn,ErrorMessage,SFAccountID,SFOrderID,SageSalesOrderNumber
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5ebCAAR,8014x000000Z3LdAAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eP8AAJ,8014x000000Z3QrAAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3R7AAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3RlAAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3WRAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5f3VAAR,8014x000000Z3bMAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3boAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5f5tAAB,8014x000000Z3crAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3d3AAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3gnAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5gFoAAJ,8014x000000Z3hAAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3hHAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3i0AAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3iUAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5ePiAAJ,8014x000000Z3jFAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5et6AAB,8014x000000Z3maAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5gFoAAJ,8014x000000Z3mmAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3n2AAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3nEAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5gFoAAJ,8014x000000Z3ngAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3o9AAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3oPAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5gFoAAJ,8014x000000Z3p8AAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5gFoAAJ,8014x000000Z3p9AAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOSAAZ,8014x000000Z3sEAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5h4PAAR,8014x000000Z3shAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5gFlAAJ,8014x000000Z3tCAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3tQAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3tRAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3tkAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eP6AAJ,8014x000000Z3tqAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5gFoAAJ,8014x000000Z3ygAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3yuAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3yvAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5ePiAAJ,8014x000000Z3ywAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3zaAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3zPAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5ePiAAJ,8014x000000Z40PAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z40ZAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eP6AAJ,8014x000000Z4XJAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z4XTAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eP6AAJ,8014x000000Z4WwAAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eP6AAJ,8014x000000Z4YAAA0,
