ErrorCode,ErrorColumn,ErrorMessage,SFOrderID,SFProductID,QuantityOrderedRevised,LastUnitPrice,LineKey,SageUpdateTime
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6AjAAK,01t4x000000frzLAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6AZAA0,01t4x000000ft5bAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6GpAAK,01t4x000000fs5TAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6GqAAK,01t4x000000ft5eAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6ATAA0,01t4x000000fro8AAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6AUAA0,01t4x000000fstXAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6AQAA0,01t4x000000ft75AAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6AIAA0,01t4x000000fss3AAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6AIAA0,01t4x000000fss6AAA,.000000,.000000,000002,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6AJAA0,01t4x000000ftIpAAI,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6GhAAK,01t4x000000ftEOAAY,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6GhAAK,01t4x000000frvxAAA,.000000,.000000,000002,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z69tAAC,01t4x000000frsCAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z69tAAC,01t4x000000frsCAAQ,.000000,.000000,000002,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6FTAA0,01t4x000000fw9NAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z69XAAS,01t4x000000fryNAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z69bAAC,01t4x000000frxbAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z65LAAS,01t4x000000ft8oAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z66aAAC,01t4x000000ft5dAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z64NAAS,01t4x000000fs5rAAA,.000000,.000000,000001,2013-11-03 17:06:05
